_id,map_id,ogc_fid,stop_numbe,name,category,reference,language,the_geom
51,bus_line_3_no_29,754,29,ផ្សារស៊ីតនី,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000005F8F3371BDF21D4196B47FA693833341
52,bus_line_3_no_30,758,30,ស្តបណាន ជីង,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000093B9FF7137EB1D417FBC273440833341
53,bus_line_3_no_31,760,31,ស្តបណាន ជីង,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000044B86F3939EC1D41486600D55A833341
54,bus_line_3_no_32,762,32,ស្តុប ដេ អ៊ិន,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000076EFFB1258E31D415899FE820B833341
55,bus_line_3_no_33,764,33,ស្តុប ដេ អ៊ិន,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000009C498DE4B5E41D415C1959A032833341
56,bus_line_3_no_34,766,34,សណ្ឋាគារ ប្រេស៊ីដង់,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000EDF124D46DDE1D4187E5D336EC823341
57,bus_line_3_no_35,768,35,សណ្ឋាគារ ប្រេស៊ីដង់,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000320A8508C2DE1D41FDE87CDD04833341
58,bus_line_3_no_37,772,37,វិទ្យាល័យសន្ធរម៉ុក,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000009AC9F49653D81D41BFCAEBFFC1823341
59,bus_line_3_no_36,770,36,វិទ្យាល័យសន្ធរម៉ុក,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000CD7D84938AD81D41533E6718DB823341
60,bus_line_3_no_38,774,38,ស្តុបផ្លូវលេខ២៦១,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000004400C78489CC1D41E96692FF71823341
61,bus_line_3_no_39,776,39,ស្តុបផ្លូវលេខ២៦១,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000575400ED6BCE1D41A7B63E3698823341
62,bus_line_3_no_40,780,40,ស្ពានអាកាស៧​មករា,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000051DA3D1A6AC21D4101530E6B6A813341
63,bus_line_3_no_41,782,41,ស្ពានអាកាស៧​មករា,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000043DBF1F797C21D4153010E3198813341
64,bus_line_3_no_44,788,44,ភ្នំពេញវ៉តធឺផាក,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000071AFC67917B91D419A6C84FD0F813341
65,bus_line_3_no_45,790,45,ភ្នំពេញវ៉តធឺផាក,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000D4D24A8006B91D4130FC1A8F24813341
66,bus_line_3_no_46,792,46,វត្ត ទឹកថ្លា,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000070FF31DE76AF1D410DDB31DCEE803341
67,bus_line_3_no_47,794,47,វត្ត ទឹកថ្លា,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000009FA5F42142AF1D41BCA5CE6E03813341
68,bus_line_3_no_58,818,58,អាកាសយានដ្ឋានអន្តរជាតិភ្នំពេញ,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000185675536A7B1D41052AD01B0B7D3341
69,bus_line_3_no_59,820,59,អាកាសយានដ្ឋានអន្តរជាតិភ្នំពេញ,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000022665A12177B1D410D64C474217D3341
70,bus_line_3_no_67,838,67,រង្វង់មូល ចោមចៅ (ចុងតារាងយន្តហោះ),ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000042BE985BD611D410800AEE3EF743341
71,bus_line_7_no_32,1464,32,ក្រុ​មហ៊ុន អិលជី,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000057DD4E6B4DC51D412327539CA8873341
72,bus_line_7_no_33,1466,33,ក្រុ​មហ៊ុន អិលជី,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000392E050FDDC41D41D0FC8716AF873341
73,bus_line_7_no_34,1468,34,បេសស្តា ខេធីវី,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000005DDD5260C7C51D41884D7435E1853341
74,bus_line_7_no_35,1470,35,បេសស្តា ខេធីវី,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000EA0A799B40C51D41F30B6EA09B853341
75,bus_line_7_no_37,1474,37,បណ្ណាល័យ ហ៊ុនសែន,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000001435BE4DD2C51D41A0F48717B5833341
76,bus_line_7_no_26,1450,26,ក្រុមហ៊ុន​ បូដាមិច,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000922FC540BED21D417BB953D5A98C3341
77,bus_line_7_no_24,1446,24,សាលាអន្តរជាតិិ ហ្គោហ្គោ,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000B80320CC11D81D41B7F361C4988D3341
78,bus_line_7_no_22,1442,22,តេលា រិទ្ធីកាំកូ,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000E2A25D5774D91D414C9013C2E48D3341
79,bus_line_7_no_23,1444,23,តេលា រិទ្ធីកាំកូ,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000096DBC56D98D91D4187C7B430158E3341
80,bus_line_7_no_21,1440,21,ប៉ុស្ត៍លេខ៣,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000CF9DA96D02DA1D41AFB90BB236913341
